date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:45	129/129	---M-Z	200	added ('OK')	text/plain	date:Tue,%2015%20Feb%202022%2015:45:46%20GMT	https://www.ahpsr.org/robots.txt		(from )
21:16:13	1111908/1111908	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Feb%202022%2015:45:47%20GMT	https://www.ahpsr.org/stories/pillars-of-strength-embedded-research-resilience-mozambique/	C:/My%20Web%20Sites/Alliance/www.ahpsr.org/stories/pillars-of-strength-embedded-research-resilience-mozambique/index.html	(from )
21:16:15	71746/71746	---M-Z	200	added ('OK')	text/css	etag:%2211842-5d667cfec656a-gzip%22	https://www.ahpsr.org/wp-content/themes/astra/assets/css/minified/style.min.css?ver=3.7.7	C:/My%20Web%20Sites/Alliance/www.ahpsr.org/wp-content/themes/astra/assets/css/minified/style.minac9e.css	(from https://www.ahpsr.org/stories/pillars-of-strength-embedded-research-resilience-mozambique/)
21:16:17	3412/3412	---M-Z	200	added ('OK')	text/css	etag:%22d54-5d667cfec84aa-gzip%22	https://www.ahpsr.org/wp-content/themes/astra/assets/css/minified/menu-animation.min.css?ver=3.7.7	C:/My%20Web%20Sites/Alliance/www.ahpsr.org/wp-content/themes/astra/assets/css/minified/menu-animation.minac9e.css	(from https://www.ahpsr.org/stories/pillars-of-strength-embedded-research-resilience-mozambique/)
21:16:18	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%2213abe-5c9218ae02428-gzip%22	https://www.ahpsr.org/wp-includes/css/dist/block-library/style.min.css?ver=5.8.3	C:/My%20Web%20Sites/Alliance/www.ahpsr.org/wp-includes/css/dist/block-library/style.minc8d8.css	(from https://www.ahpsr.org/stories/pillars-of-strength-embedded-research-resilience-mozambique/)
21:16:18	121814/121814	---M-Z	200	added ('OK')	text/css	etag:%221dbd6-5c9218ae02428-gzip%22	https://www.ahpsr.org/wp-includes/css/dist/components/style.min.css?ver=5.8.3	C:/My%20Web%20Sites/Alliance/www.ahpsr.org/wp-includes/css/dist/components/style.minc8d8.css	(from https://www.ahpsr.org/stories/pillars-of-strength-embedded-research-resilience-mozambique/)
21:16:19	2635/2635	---M-Z	200	added ('OK')	text/css	etag:%22a4b-5c9218ae033c8-gzip%22	https://www.ahpsr.org/wp-includes/css/dist/nux/style.min.css?ver=5.8.3	C:/My%20Web%20Sites/Alliance/www.ahpsr.org/wp-includes/css/dist/nux/style.minc8d8.css	(from https://www.ahpsr.org/stories/pillars-of-strength-embedded-research-resilience-mozambique/)
21:16:20	101352/101352	---M-Z	200	added ('OK')	text/css	etag:%2218be8-5cb87ec6a4796-gzip%22	https://www.ahpsr.org/wp-includes/css/dist/block-editor/style.min.css?ver=5.8.3	C:/My%20Web%20Sites/Alliance/www.ahpsr.org/wp-includes/css/dist/block-editor/style.minc8d8.css	(from https://www.ahpsr.org/stories/pillars-of-strength-embedded-research-resilience-mozambique/)
21:16:20	389/389	---M-Z	200	added ('OK')	text/css	etag:%22185-5c9218ae02428-gzip%22	https://www.ahpsr.org/wp-includes/css/dist/reusable-blocks/style.min.css?ver=5.8.3	C:/My%20Web%20Sites/Alliance/www.ahpsr.org/wp-includes/css/dist/reusable-blocks/style.minc8d8.css	(from https://www.ahpsr.org/stories/pillars-of-strength-embedded-research-resilience-mozambique/)
21:16:21	100/100	---M-Z	200	added ('OK')	text/css	etag:%2264-5d0c33805ffe0-gzip%22	https://www.ahpsr.org/wp-content/plugins/sticky-block/dist/blocks.style.build.css	C:/My%20Web%20Sites/Alliance/www.ahpsr.org/wp-content/plugins/sticky-block/dist/blocks.style.build.css	(from https://www.ahpsr.org/stories/pillars-of-strength-embedded-research-resilience-mozambique/)
